total_time9,gmrt_on_paper10,mean_speed_on_paper10,paper_time11,mean_gmrt14,total_time15,air_time17,mean_jerk_in_air17,total_time17,air_time19,max_x_extension19,mean_speed_on_paper19,num_of_pendown19,pressure_mean19,total_time19,air_time22,air_time23,paper_time23,total_time23,total_time25,class
9185,130.3233341,2.592164333,3945,192.6565597,36130,9930,0.500059457,24740,67610,7399,1.554623997,58,1412.931334,102125,4970,7170,7485,14655,117435,0
7295,223.3295346,4.477098398,1690,297.4155118,8385,15835,0.231459221,28820,36025,7184,2.490752487,64,1734.332253,57620,2795,2925,4385,7310,50730,0
11950,203.3290197,4.084896608,2800,320.2978176,12555,12885,0.252489657,28650,30675,7461,2.27711707,39,1397.789165,52825,2115,2515,4045,6560,55035,0
7795,135.3671015,2.706263242,2605,155.7371741,14000,12680,0.29343766,30380,37490,6935,2.07616712,68,1747.289279,57730,6900,3220,4425,7645,77215,0
7525,225.51805,4.377325126,4075,399.8729094,17555,52265,0.186498892,83745,48120,6906,2.040031072,56,1599.788107,64685,2105,2030,2975,5005,39380,0
6025,278.6066038,5.536639852,1835,428.4720951,9575,6100,0.58243184,17015,18405,7349,3.441268029,45,1715.551966,36975,2635,2695,4500,7195,349845,0
14590,96.12304006,1.801555999,2405,500.5131195,19635,15980,0.242149094,31295,64950,7241,1.511830282,52,1256.742675,92425,4800,3155,4805,7960,144775,1
37000,70.88441498,0.937830157,8635,296.8794854,289470,39875,0.120731763,65125,44160,1452,0.780493664,24,1046.728623,67725,9350,6080,6180,12260,60940,1
8335,159.1237488,2.21433917,2495,144.8366724,11060,14730,0.226243559,28835,334815,7041,2.083759761,59,1885.87398,356875,3440,2580,3975,6555,68020,0
6055,87.97885691,1.36496334,19635,149.2825407,53545,130055,0.040013732,185750,36325,7342,2.484800055,35,1925.246829,61950,5800,7820,4720,12540,51210,1
